Disease,Event,Money Raised,Money Rank,Deaths (US),Deaths Rank
Heart Disease,Jump Rope for Heart (2013),54.1,3,596577,1
Chronic Obstructive Pulmonary Disease,Fight for Air Climb (2013),7,6,142942,2
Diabetes,Step Out: Walk to Stop Diabetes (2013),4.2,7,78831,3
Breast Cancer,Komen Race for the Cure (2012),257.85,1,41374,4
Suicide,Opt out of Darkness Overnight Walk (2014),3.2,8,39518,5
Prostate Cancer,(Movember 2013),147,2,21176,6
HIV/AIDS,Ride to End Aids (2013),14,5,7683,7
Motor Neuron Disease (incl ALS),ALS Ice Bucket Challenge (2014),22.9,4,6849,8
